scraped_at_utc,full_address,vehicle_type,total_available,total_spaces_manual,capacity_est,occupied_est,occupancy_pct_est,booking_amount_label,price_daily_usd,price_weekly_usd,price_monthly_usd,reviews_count,review_rating
,"7802 Howell Blvd, Baton Rouge, LA 70807",Truck + Trailer,6,,,,,,15.00,75.00,250.00,14,4.64
,"7802 Howell Blvd, Baton Rouge, LA 70807",Truck + Trailer,6,,,,,,15.00,75.00,250.00,14,4.64
,"7802 Howell Blvd, Baton Rouge, LA 70807",Truck + Trailer,6,,,,,,15.00,75.00,250.00,14,4.64
,"7802 Howell Blvd, Baton Rouge, LA 70807",Truck + Trailer,6,,,,,,15.00,75.00,250.00,14,4.64
2026-07-03T18:20:34Z,"7802 Howell Blvd, Baton Rouge, LA 70807",Truck + Trailer,6,,,,,,15.00,75.00,250.00,14,4.64
2026-07-03T18:57:51Z,"7802 Howell Blvd, Baton Rouge, LA 70807",Truck + Trailer,6,,,,,,15.00,75.00,250.00,14,4.64
2026-07-03T20:41:14Z,"7802 Howell Blvd, Baton Rouge, LA 70807",Truck + Trailer,6,,6,0,0.0,100+,15.00,75.00,250.00,14,4.64
2026-07-04T01:43:08Z,"7802 Howell Blvd, Baton Rouge, LA 70807",Truck + Trailer,5,,,,,,15.00,75.00,250.00,14,4.64
2026-07-04T02:48:57Z,"7802 Howell Blvd, Baton Rouge, LA 70807",Truck + Trailer,5,,6,1,16.7,100+,15.00,75.00,250.00,14,4.64
2026-07-04T02:57:29Z,"7802 Howell Blvd, Baton Rouge, LA 70807",Truck + Trailer,5,,6,1,16.7,100+,15.00,75.00,250.00,14,4.64
2026-07-04T03:59:22Z,"7802 Howell Blvd, Baton Rouge, LA 70807",Truck + Trailer,5,,6,1,16.7,100+,15.00,75.00,250.00,14,4.64
2026-07-05T20:09:18Z,"7802 Howell Blvd, Baton Rouge, LA 70807",Truck + Trailer,5,,6,1,16.7,100+,15.00,75.00,250.00,14,4.64
